Date,Time,Reference,Description,Type,Debit BTC,Credit BTC,Fee BTC,Balance BTC,Cost Basis,Gain/Loss BTC,Inscription ID,Counterpart Address,Transaction ID,Confirmed
2024-03-12,14:53:22,0a2bd03bae5429fa...,Inscription: 897bf16ccf5cd6ff... | To/From: bc1p4ap6hmlvgtz2...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,897bf16ccf5cd6fff8903fe32c50a1b59ba49d967ca0aa50122696933c499ce4i67,bc1p4ap6hmlvgtz2kg546764ah0zwn9eusnx7v84zu8rh8tzs7zx7nfsrwkfvy,0a2bd03bae5429fa5e9627e0bb26df7e0722b39376dbcf9297f9bf21db4bc09f,Yes
2024-03-14,23:41:01,57d8ff2cfdceacdd...,Inscription: 941fd32ec45d6990... | To/From: bc1p3wwt4je8dr2k...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,941fd32ec45d6990b1efdb59c9a38dd8c75482216c27dd7eaa8c69a708488a72i852,bc1p3wwt4je8dr2ke7pms30jlrpplrcupuvzt802958zsf48u27hcumqz0jedh,57d8ff2cfdceacddaeea5e760ac5c843efd8de051de976e3e599437329ba5e71,Yes
2024-04-10,21:59:31,2b125b6b58c7ab1f...,Inscription: 8322821411450950... | To/From: bc1p3qrp9t95dw9c...,SEND,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,8322821411450950953a840883f76903f24646f570b0842f1e251e7dde9f6891i0,bc1p3qrp9t95dw9crw94kvh36vcafz46mrln99yrvh4fygw6w7vv4dwsu8teyl,2b125b6b58c7ab1f9264be1043396e36d19614a5008dafbe5c812dd060ef0e91,Yes
2024-04-16,01:21:47,5eeacf761a88c0ab...,Inscription: 3e13d3898c0afa3c... | To/From: bc1ppdt4hh0hza4u...,SEND,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3e13d3898c0afa3c5fb58321d8a0b314e6f5919f665f353fa9a0be45d7ee40b0i0,bc1ppdt4hh0hza4umld6s7thtyjt2v23xf4xqntcx52t2tr5trzxwm8q64eghy,5eeacf761a88c0ab8776cff05346071e10c974ca31565627cfcedd7f1d795f91,Yes
2024-04-19,17:39:37,ed623abdb0288911...,Inscription: b5012d70218ffa6c... | To/From: bc1pyu2fqm4petdf...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,b5012d70218ffa6c3984be247ce92947f7541bbd28a5c77b50bd3c0ac88d0104i0,bc1pyu2fqm4petdft2cnluyngpg4l5cc5w0def7z8ns3vlgt0mjqvzksq2hhpe,ed623abdb0288911322e7eb143b1b341d5ec6a5ed8edbcb166e6fa0f0014af7f,Yes
2024-04-19,17:39:37,ed623abdb0288911...,Inscription: b5012d70218ffa6c... | To/From: bc1pyu2fqm4petdf...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,b5012d70218ffa6c3984be247ce92947f7541bbd28a5c77b50bd3c0ac88d0104i1,bc1pyu2fqm4petdft2cnluyngpg4l5cc5w0def7z8ns3vlgt0mjqvzksq2hhpe,ed623abdb0288911322e7eb143b1b341d5ec6a5ed8edbcb166e6fa0f0014af7f,Yes
2024-04-20,22:51:46,641746e37c489d83...,Inscription: 93d4ec8f4b1ade64... | To/From: bc1pxy4x6f4yuxs5...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,93d4ec8f4b1ade643efbc0485a770fe36b47d8206d2190ef9e4ace6a8469c4ffi0,bc1pxy4x6f4yuxs5hxjlf270j49vsuxqcrypyjlw5x7vtcsr3m67epwsafvsv9,641746e37c489d833bdcadf1e614382f6d9c707a151a8c233b03badbabd21d3e,Yes
2024-04-21,06:15:06,5df70fd0ef165060...,Inscription: b5700030e9be535a... | To/From: bc1pmezktt8k82tu...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,b5700030e9be535ad238eee1af88e6ceae9299910d5b8017fe089080ba0a0e4bi0,bc1pmezktt8k82tudrzqducdyrysywjj2r5pzj4yyrj8kdawhkk567js6f0aj5,5df70fd0ef16506034e0d0479851a0eafa710954e7a855d394fdd45ab6b5f2f3,Yes
2024-04-24,15:50:39,6b137e008cab2c3c...,Inscription: b5700030e9be535a... | To/From: 1A1zP1eP5QGefi2D...,SEND,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,b5700030e9be535ad238eee1af88e6ceae9299910d5b8017fe089080ba0a0e4bi0,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,6b137e008cab2c3c7e3e6b10590f63d9ca48d19406f0859884f8f56ddc200a65,Yes
2024-04-30,12:12:41,34f782dce2869bbf...,Inscription: b5012d70218ffa6c... | To/From: bc1pypr4uw0vfev3...,SEND,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,b5012d70218ffa6c3984be247ce92947f7541bbd28a5c77b50bd3c0ac88d0104i0,bc1pypr4uw0vfev3mdk9yekxt4fqkvm2ypxwafj3t0p752hkz88wp50qmhed08,34f782dce2869bbf97b359c5e4180e7a3c8c1a9d0c40dd0bd1b17ecba02d5c91,Yes
2024-04-30,12:12:41,34f782dce2869bbf...,Inscription: b5012d70218ffa6c... | To/From: bc1pypr4uw0vfev3...,SEND,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,b5012d70218ffa6c3984be247ce92947f7541bbd28a5c77b50bd3c0ac88d0104i1,bc1pypr4uw0vfev3mdk9yekxt4fqkvm2ypxwafj3t0p752hkz88wp50qmhed08,34f782dce2869bbf97b359c5e4180e7a3c8c1a9d0c40dd0bd1b17ecba02d5c91,Yes
2024-07-17,18:55:28,7b4840fa0d05d09a...,Inscription: 63dc1d8ac806c27d... | To/From: bc1p98zxqywffm5l...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,63dc1d8ac806c27d45a6aa608bd8a73b2a1dd99a5c1f4e32a780795e18231b45i0,bc1p98zxqywffm5l5z3yhxnjkvqhpy4j4qh0d2s9k77h4a277jff774qrnht5d,7b4840fa0d05d09a3488fdc583409e1014b03b51856c21c84f61892675df1446,Yes
2024-07-17,18:55:28,7b4840fa0d05d09a...,Inscription: 9918cdf8b02b281d... | To/From: bc1pkvcv2eg92grd...,RECEIVE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,9918cdf8b02b281d25b0d6bdb809715d7f6d7351223cf51060fd2746c829f5f0i0,bc1pkvcv2eg92grdcmgg3r72ngygfmwnyq76zdagtczwv78hdjcrwzxsv5d46r,7b4840fa0d05d09a3488fdc583409e1014b03b51856c21c84f61892675df1446,Yes
2024-07-18,00:17:48,c207fc5f3688a3c3...,Inscription: 9918cdf8b02b281d... | To/From: bc1pd64zq3ztld43...,SEND,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,9918cdf8b02b281d25b0d6bdb809715d7f6d7351223cf51060fd2746c829f5f0i0,bc1pd64zq3ztld43ed6tp075p254wptl22pcnu05upsgyzvucrxprwps523y66,c207fc5f3688a3c366b3119d51718eaf4e344529850bbd5276bd961dfb01f52c,Yes
2024-07-18,05:07:58,a1588cf8a1bc3794...,Inscription: 63dc1d8ac806c27d... | To/From: bc1qkzrppa5q35z2...,SEND,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,63dc1d8ac806c27d45a6aa608bd8a73b2a1dd99a5c1f4e32a780795e18231b45i0,bc1qkzrppa5q35z2d4s0k4z578pff4a0yj2np5xuvp,a1588cf8a1bc3794e13455514a52c7cd1a277292c24321333c851fb5861a0621,Yes
2024-07-19,16:13:10,1ebc2e745e5cc29b...,Inscription: d734683bd3b5a0f9... | To/From: bc1qcmryhhzx2k55...,RECEIVE,0.12845500,0.00000000,0.00000241,0.12845500,0.12845500,0.00000000,d734683bd3b5a0f9130cb0728657efd859894ca7dc45714c7118bfb96ef4d583i0,bc1qcmryhhzx2k55u9332whj6xuzsfq6zqx6c0aycc,1ebc2e745e5cc29bb6ad484e1d336cdc4d49b6ebd39a8216c6f5e82ae9beffdf,Yes
2024-11-12,16:00:46,53d097eb364df168...,Inscription: 9f3c5637f2429293... | To/From: bc1payp7dlm3udth...,RECEIVE,0.00000000,0.00000000,0.00000000,0.12845500,0.00000000,0.00000000,9f3c5637f24292937c4e91bcf865a0d92cd4dec93a57531611313b00a79e9895i0,bc1payp7dlm3udthcs5e20xlgzjdfhf4aqlpnrq0mr47rjnt6kg5uhvqjc84mh,53d097eb364df168e79d8fb48b3e1dd2e24ebd43bb1d724e2f6b0d4ca45d6042,Yes
2024-11-21,06:18:57,ebf5a87ad14cda0e...,Inscription: 7ae637cf3c589a18... | To/From: bc1pu4a77dnkhsra...,RECEIVE,0.00000000,0.00000000,0.00000000,0.12845500,0.00000000,0.00000000,7ae637cf3c589a18d10722e53a926d03f7521300b7929e4e9dcf05e884a63e9di0,bc1pu4a77dnkhsra3a8q60d3y4dgzlf947xd5vwexw3052r6xatdvmmq374lzr,ebf5a87ad14cda0ece4d26684e08acb5c3eba0823152745f72f0da1d2f571c2c,Yes
2025-01-03,02:12:01,350d23743ead6f0e...,Inscription: 34a2eff48ad53c60... | To/From: bc1p4vjfkrngvrx6...,RECEIVE,0.00000000,0.00000000,0.00000000,0.12845500,0.00000000,0.00000000,34a2eff48ad53c606ad9a3d5485f96c7aaaa67e2dae618bea60584cddf78aac3i0,bc1p4vjfkrngvrx60whau23ec62y9e8sp2wwmymec7gjvmg2f8943f2q4rrftv,350d23743ead6f0ed895b739a71108fc2ab20d09a42ebaa3cf91052213b72bb9,Yes
2025-08-11,22:04:18,cad6aba6e7d6b811...,Inscription: 941fd32ec45d6990... | To/From: bc1qlk9r8h64ytcr...,SEND,0.00000000,0.00000000,0.00000000,0.12845500,0.00000000,0.00000000,941fd32ec45d6990b1efdb59c9a38dd8c75482216c27dd7eaa8c69a708488a72i852,bc1qlk9r8h64ytcrsjxjqx95hpx9v2l0ry0jsca260,cad6aba6e7d6b811663f40441e49f78aea584bc882f0b7659bbe438ea497bb58,Yes
2025-12-09,18:29:55,fea924b0920bede0...,Inscription: 897bf16ccf5cd6ff... | To/From: bc1pmthmdu7mrpzj...,SEND,0.00000000,0.00000000,0.00000000,0.12845500,0.00000000,0.00000000,897bf16ccf5cd6fff8903fe32c50a1b59ba49d967ca0aa50122696933c499ce4i67,bc1pmthmdu7mrpzj827exh9kvzvyyjv2dg9uz6g0ueyt2hxxjkfhn0asx99g88,fea924b0920bede05a694eef6194023dc24406396b2236d89ecbfeb105ebd357,Yes
2025-12-09,18:34:01,316795e360a8f7e3...,Inscription: d734683bd3b5a0f9... | To/From: bc1pppzfw9ms7a9g...,SEND,0.00000000,0.01409965,0.00000241,0.11435535,0.12845500,-0.11435535,d734683bd3b5a0f9130cb0728657efd859894ca7dc45714c7118bfb96ef4d583i0,bc1pppzfw9ms7a9gk5k686c4cz69shr4f9aagrdnv2jwe75cc9288j6ss3p2ex,316795e360a8f7e33e0bdcecb83889e5965265de0532bea43c60e2a3209dfa06,Yes
